index,cross_entropy,hyper_params
976,0.4423652079,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6666666666666666, 'importance_type': 'split', 'learning_rate': 0.052894710572760704, 'max_depth': -1, 'min_child_samples': 105, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 64, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.3285714285714285, 'reg_lambda': 0.56, 'silent': 'warn', 'subsample': 0.8, 'subsample_for_bin': 260000, 'subsample_freq': 0, 'is_unbalance': False}"
906,0.442397339,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6444444444444445, 'importance_type': 'split', 'learning_rate': 0.20064688101493391, 'max_depth': -1, 'min_child_samples': 125, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 81, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.923265306122449, 'reg_lambda': 0.68, 'silent': 'warn', 'subsample': 0.7318181818181819, 'subsample_for_bin': 100000, 'subsample_freq': 0, 'is_unbalance': False}"
917,0.4424037485,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6, 'importance_type': 'split', 'learning_rate': 0.10200026101625011, 'max_depth': -1, 'min_child_samples': 215, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 68, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.9424489795918367, 'reg_lambda': 0.54, 'silent': 'warn', 'subsample': 0.7454545454545455, 'subsample_for_bin': 120000, 'subsample_freq': 0, 'is_unbalance': False}"
604,0.4424273323,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6888888888888889, 'importance_type': 'split', 'learning_rate': 0.07147001735034532, 'max_depth': -1, 'min_child_samples': 210, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 55, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.9808163265306122, 'reg_lambda': 0.1, 'silent': 'warn', 'subsample': 0.8772727272727273, 'subsample_for_bin': 20000, 'subsample_freq': 0, 'is_unbalance': True}"
357,0.442480293,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6444444444444445, 'importance_type': 'split', 'learning_rate': 0.03552797085601494, 'max_depth': -1, 'min_child_samples': 60, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 89, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.5012244897959184, 'reg_lambda': 0.1, 'silent': 'warn', 'subsample': 0.8909090909090909, 'subsample_for_bin': 20000, 'subsample_freq': 0, 'is_unbalance': True}"
59,0.4424972863,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6888888888888889, 'importance_type': 'split', 'learning_rate': 0.05857374159381072, 'max_depth': -1, 'min_child_samples': 170, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 29, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.40530612244897957, 'reg_lambda': 0.06, 'silent': 'warn', 'subsample': 0.9681818181818183, 'subsample_for_bin': 160000, 'subsample_freq': 0, 'is_unbalance': False}"
817,0.4425117322,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7555555555555555, 'importance_type': 'split', 'learning_rate': 0.05449734981385939, 'max_depth': -1, 'min_child_samples': 70, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 35, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.5779591836734692, 'reg_lambda': 0.42000000000000004, 'silent': 'warn', 'subsample': 0.7590909090909091, 'subsample_for_bin': 80000, 'subsample_freq': 0, 'is_unbalance': False}"
205,0.4426069285,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6222222222222222, 'importance_type': 'split', 'learning_rate': 0.04556134693221116, 'max_depth': -1, 'min_child_samples': 85, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 128, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.7122448979591836, 'reg_lambda': 0.4, 'silent': 'warn', 'subsample': 0.7090909090909091, 'subsample_for_bin': 220000, 'subsample_freq': 0, 'is_unbalance': False}"
709,0.4426169019,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6222222222222222, 'importance_type': 'split', 'learning_rate': 0.05857374159381072, 'max_depth': -1, 'min_child_samples': 165, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 115, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.3285714285714285, 'reg_lambda': 0.78, 'silent': 'warn', 'subsample': 0.990909090909091, 'subsample_for_bin': 260000, 'subsample_freq': 0, 'is_unbalance': False}"
886,0.4426537414,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6444444444444445, 'importance_type': 'split', 'learning_rate': 0.13747782859506608, 'max_depth': -1, 'min_child_samples': 55, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 143, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.9040816326530612, 'reg_lambda': 1.0, 'silent': 'warn', 'subsample': 0.7318181818181819, 'subsample_for_bin': 180000, 'subsample_freq': 0, 'is_unbalance': False}"
